Year,Month,AT,LT,HT,,,,
2013,5,1.82353117647059,1.29525294117647,2.58467411764706,0,0,0,0
2013,6,2.33816352941176,1.84073,2.82726058823529,0,0,0,0
2013,7,2.63371941176471,2.34298352941176,3.02202,0,0,0,0
2013,8,2.79438411764706,2.33896941176471,3.24278117647059,0,0,0,0
2013,9,2.22258470588235,1.67438176470588,2.68215058823529,0,0,0,0
2013,10,1.65335764705882,1.07106235294118,2.30373,0,0,0,0
2013,11,0.777123529411765,0.214966470588235,1.58498764705882,0,0,0,0
2013,12,0.185540588235294,-0.262980588235294,0.788355882352941,0,0,0,0
2014,1,0.116819411764706,-0.460679411764706,0.775634117647059,0,1.42360387254902,0.945751960784314,2.08998142156863
2014,2,0.320847647058824,-0.232042941176471,1.1459,0,0,0,0
2014,3,0.858332352941177,0.308692941176471,1.83195411764706,0,0,0,0
2014,4,1.43942235294118,0.818284117647059,2.15625,0,0,0,0
2014,5,1.94659235294118,1.35313176470588,2.75406117647059,0,0,0,0
2014,6,2.32521647058824,2.01289117647059,2.88604941176471,0,0,0,0
2014,7,2.64456352941177,2.31868,3.23678,0,0,0,0
2014,8,2.53556,2.27115529411765,3.09033823529412,0,0,0,0
2014,9,2.27092823529412,1.86236588235294,2.81549470588235,0,0,0,0
2014,10,1.64957117647059,1.11085882352941,2.24194176470588,0,0,0,0
2014,11,1.00946647058824,0.496045882352941,1.55134647058824,0,0,0,0
2014,12,-0.0340735294117647,-0.51036,0.59402705882353,0,0,0,0
2015,1,0.103346470588235,-0.427835882352941,0.711345294117647,0,1.49024887254902,0.92213681372549,2.12521102941176
2015,2,0.263543529411765,-0.488730588235294,0.835872352941176,0,0,0,0
2015,3,0.767835882352941,0.0978447058823529,1.63254176470588,0,0,0,0
2015,4,1.42053882352941,0.978118823529412,2.31018411764706,0,0,0,0
2015,5,2.01028647058824,1.44688470588235,2.81603764705882,0,0,0,0
2015,6,2.38737588235294,1.92098588235294,2.99693941176471,0,0,0,0
